,30_mean_rewards
0,-9.318476190476181
1,-6.3759595959594675
2,-6.740099009900855
3,-3.6491176470587052
4,-3.647432432432318
5,-5.26485714285701
6,-5.552421052631448
7,-3.6491262135921207
8,-4.773518518518395
9,-4.4214912280700505
10,-4.690679611650363
11,-3.169999999999885
12,-3.6977380952379777
13,-1.921249999999897
14,0.18323232323240776
15,-1.301081081080987
16,-1.0858823529410813
17,-0.75291338582668
18,-0.447281553397971
19,1.576027397260324
20,-1.978253968253939
21,-4.542142857142898
22,-2.062352941176469
23,-8.217102803738284
24,-3.2876470588235374
25,-0.9298888888888549
26,-4.618905109489044
27,-3.2364516129031875
28,-8.931599999999957
29,-8.04914728682166
30,0.41536585365852874
31,2.991916666666668
32,1.1389285714286177
33,-1.7064601769911514
34,-0.190661764705882
35,1.9416666666666547
36,-3.9654545454544547
37,1.5880128205128388
38,0.7073076923077006
39,5.340000000000027
40,2.5422222222222253
41,-9.09725490196069
42,1.0000000000000069
43,2.4830370370370765
44,3.2506250000000247
45,2.240000000000026
46,6.473461538461532
47,1.8523636363636453
48,-1.3384444444444423
49,0.37844155844154764
50,-8.33978260869559
51,-1.4514018691588861
52,2.9566906474820143
53,5.4025757575757725
54,0.9939795918367745
55,-0.9007777777777837
56,4.36425
57,7.378023255813969
58,3.6215957446808758
59,6.622626262626285
60,7.459454545454567
61,7.260869565217405
62,6.828558558558569
63,7.987368421052638
64,7.309898989898999
65,7.0794623655914
66,5.402900000000006
67,5.617452830188681
68,3.86164948453609
69,0.9506250000000117
70,4.980000000000008
71,5.642480000000018
72,3.558157894736872
73,6.691616161616171
74,5.725714285714284
75,-0.30447916666661273
76,2.3756481481481653
77,3.639432624113491
78,4.534821428571428
79,8.042551020408174
80,7.148712871287136
81,5.69038834951456
82,5.817826086956524
83,6.405904761904776
84,4.275504587155982
85,4.025581395348846
86,6.256923076923072
87,6.718309859154932
88,2.468349514563125
89,6.166138613861393
90,4.373700000000008
91,5.5223076923076935
92,5.063827160493829
93,-8.718235294117711
94,-7.390000000000029
95,-12.457711864406738
96,-6.9780000000000255
97,-7.162578124999975
98,1.4579047619048207
99,-0.5704807692307502
100,-0.3181395348836834
101,0.979012345679051
102,5.797300000000002
103,4.366161616161634
104,6.658686868686871
105,5.422101910828041
106,-0.1784285714285626
107,-1.4067777777778039
108,-4.762700000000038
109,0.3434693877550891
110,3.4971250000000196
111,2.2231428571428724
112,4.157281553398065
113,3.7153124999999956
114,6.969821428571428
115,7.172471910112376
116,7.975909090909101
117,6.9643689320388384
118,2.7908108108108247
119,6.5264485981308376
120,6.803417721518991
121,8.378073394495422
122,5.880555555555544
123,6.956203703703691
124,7.025178571428563
125,8.972592592592601
126,8.891829268292668
127,9.781666666666666
128,7.436923076923088
129,6.0434693877551116
130,5.265258620689662
131,8.529021739130442
132,9.136739130434787
133,8.270909090909093
134,7.614655172413793
135,8.083176470588235
136,8.246548672566371
137,9.529318181818182
138,8.386039603960404
139,8.359191919191924
140,8.025643564356445
141,8.753846153846156
142,9.164255319148944
143,8.08908629441625
144,7.064385964912302
145,9.30041666666667
146,7.602685185185192
147,8.583052631578948
148,8.498913043478268
149,7.815699999999985
150,7.968133971291871
151,8.994843750000005
